/home/james/anaconda3/envs/wandb/lib/python3.10/site-packages/xgboost/core.py:160: UserWarning: [12:13:46] WARNING: /workspace/src/common/error_msg.cc:27: The tree method `gpu_hist` is deprecated since 2.0.0. To use GPU training, set the `device` parameter to CUDA instead.
    E.g. tree_method = "hist", device = "cuda"
  warnings.warn(smsg, UserWarning)
[0]	validation_0-rmse:2890.49103
[1]	validation_0-rmse:2151.25657
[2]	validation_0-rmse:1646.16591
[3]	validation_0-rmse:1309.68710
[4]	validation_0-rmse:1077.47338
[5]	validation_0-rmse:916.86440
[6]	validation_0-rmse:826.99597
[7]	validation_0-rmse:760.80217
[8]	validation_0-rmse:719.44433
[9]	validation_0-rmse:693.51193
[10]	validation_0-rmse:672.84882
[11]	validation_0-rmse:654.85984
[12]	validation_0-rmse:634.73614
[13]	validation_0-rmse:623.18225
[14]	validation_0-rmse:617.34221
[15]	validation_0-rmse:613.67147
[16]	validation_0-rmse:607.32331
[17]	validation_0-rmse:604.46119
[18]	validation_0-rmse:598.17601
[19]	validation_0-rmse:594.88868
[20]	validation_0-rmse:593.34843
[21]	validation_0-rmse:590.06852
[22]	validation_0-rmse:587.76214
[23]	validation_0-rmse:585.99364
[24]	validation_0-rmse:582.98290
[25]	validation_0-rmse:582.47269
[26]	validation_0-rmse:580.17669
[27]	validation_0-rmse:579.34976
[28]	validation_0-rmse:578.84001
[29]	validation_0-rmse:577.81118
[30]	validation_0-rmse:575.61969
[31]	validation_0-rmse:574.99526
[32]	validation_0-rmse:573.81131
[33]	validation_0-rmse:574.58592
[34]	validation_0-rmse:573.74085
[35]	validation_0-rmse:573.47272
[36]	validation_0-rmse:572.44439
[37]	validation_0-rmse:571.66438
[38]	validation_0-rmse:571.07939
[39]	validation_0-rmse:570.80938
[40]	validation_0-rmse:569.24079
[41]	validation_0-rmse:569.96377
[42]	validation_0-rmse:569.05688
[43]	validation_0-rmse:570.04498
[44]	validation_0-rmse:569.55543
[45]	validation_0-rmse:568.45968
[46]	validation_0-rmse:568.73302
[47]	validation_0-rmse:568.48926
[48]	validation_0-rmse:568.45652
[49]	validation_0-rmse:567.32418
[50]	validation_0-rmse:566.54529
[51]	validation_0-rmse:565.76741
[52]	validation_0-rmse:565.23540
[53]	validation_0-rmse:564.38770
[54]	validation_0-rmse:564.41182
[55]	validation_0-rmse:564.37780
[56]	validation_0-rmse:564.79726
[57]	validation_0-rmse:564.74789
[58]	validation_0-rmse:564.21772
[59]	validation_0-rmse:563.96804
[60]	validation_0-rmse:563.83542
[61]	validation_0-rmse:563.29146
[62]	validation_0-rmse:563.05053
[63]	validation_0-rmse:562.00163
[64]	validation_0-rmse:563.13364
[65]	validation_0-rmse:563.56553
[66]	validation_0-rmse:563.49698
[67]	validation_0-rmse:562.65290
[68]	validation_0-rmse:563.52666
[69]	validation_0-rmse:563.43718
[70]	validation_0-rmse:563.17223
[71]	validation_0-rmse:563.51970
[72]	validation_0-rmse:563.53180
[73]	validation_0-rmse:563.36709
[74]	validation_0-rmse:563.09086
[75]	validation_0-rmse:563.38607
[76]	validation_0-rmse:563.24916
[77]	validation_0-rmse:563.05328
[78]	validation_0-rmse:562.82099
[79]	validation_0-rmse:563.58990
[80]	validation_0-rmse:563.46822
[81]	validation_0-rmse:564.00106
[82]	validation_0-rmse:564.73988
[83]	validation_0-rmse:564.05524
