[12:14:10] WARNING: /workspace/src/common/error_msg.cc:27: The tree method `gpu_hist` is deprecated since 2.0.0. To use GPU training, set the `device` parameter to CUDA instead.
    E.g. tree_method = "hist", device = "cuda"
[0]	validation_0-rmse:2787.37924
[1]	validation_0-rmse:2001.28527
[2]	validation_0-rmse:1503.05942
[3]	validation_0-rmse:1199.68585
[4]	validation_0-rmse:1013.40151
[5]	validation_0-rmse:890.45731
[6]	validation_0-rmse:817.06260
[7]	validation_0-rmse:763.09086
[8]	validation_0-rmse:732.10232
[9]	validation_0-rmse:706.23621
[10]	validation_0-rmse:683.95971
[11]	validation_0-rmse:671.96324
[12]	validation_0-rmse:660.40692
[13]	validation_0-rmse:653.43501
[14]	validation_0-rmse:642.07463
[15]	validation_0-rmse:635.21923
[16]	validation_0-rmse:630.21488
[17]	validation_0-rmse:624.59925
[18]	validation_0-rmse:622.02216
[19]	validation_0-rmse:614.44228
[20]	validation_0-rmse:612.37611
[21]	validation_0-rmse:611.20840
[22]	validation_0-rmse:607.89371
[23]	validation_0-rmse:604.75843
[24]	validation_0-rmse:602.48516
[25]	validation_0-rmse:599.96402
[26]	validation_0-rmse:600.13168
[27]	validation_0-rmse:599.49497
[28]	validation_0-rmse:596.64100
[29]	validation_0-rmse:595.28317
[30]	validation_0-rmse:593.84536
[31]	validation_0-rmse:592.94034
[32]	validation_0-rmse:591.35779
[33]	validation_0-rmse:591.24629
[34]	validation_0-rmse:590.12672
[35]	validation_0-rmse:589.91291
[36]	validation_0-rmse:588.90621
[37]	validation_0-rmse:587.93099
[38]	validation_0-rmse:587.88651
[39]	validation_0-rmse:587.46682
[40]	validation_0-rmse:585.97592
[41]	validation_0-rmse:586.11219
[42]	validation_0-rmse:584.23132
[43]	validation_0-rmse:583.66100
[44]	validation_0-rmse:583.46693
[45]	validation_0-rmse:583.21578
[46]	validation_0-rmse:582.85746
[47]	validation_0-rmse:582.40174
[48]	validation_0-rmse:580.81364
[49]	validation_0-rmse:579.98441
[50]	validation_0-rmse:579.47280
[51]	validation_0-rmse:579.49911
[52]	validation_0-rmse:578.92221
[53]	validation_0-rmse:578.63707
[54]	validation_0-rmse:578.41480
[55]	validation_0-rmse:578.28172
[56]	validation_0-rmse:578.19322
[57]	validation_0-rmse:577.45511
[58]	validation_0-rmse:577.39882
[59]	validation_0-rmse:576.74568
[60]	validation_0-rmse:576.37303
[61]	validation_0-rmse:575.86482
[62]	validation_0-rmse:575.72397
[63]	validation_0-rmse:574.92497
[64]	validation_0-rmse:575.68366
[65]	validation_0-rmse:575.37655
[66]	validation_0-rmse:575.28151
[67]	validation_0-rmse:575.78958
[68]	validation_0-rmse:575.49278
[69]	validation_0-rmse:575.26060
[70]	validation_0-rmse:575.18344
[71]	validation_0-rmse:574.54344
[72]	validation_0-rmse:574.62888
[73]	validation_0-rmse:573.86717
[74]	validation_0-rmse:574.14901
[75]	validation_0-rmse:573.85271
[76]	validation_0-rmse:573.59441
[77]	validation_0-rmse:573.51430
[78]	validation_0-rmse:573.32951
[79]	validation_0-rmse:572.82165
[80]	validation_0-rmse:572.50887
[81]	validation_0-rmse:571.66944
[82]	validation_0-rmse:571.86216
[83]	validation_0-rmse:571.84654
[84]	validation_0-rmse:571.49431
[85]	validation_0-rmse:570.87400
[86]	validation_0-rmse:570.63611
[87]	validation_0-rmse:570.28506
[88]	validation_0-rmse:570.23348
[89]	validation_0-rmse:570.09844
[90]	validation_0-rmse:569.69802
[91]	validation_0-rmse:569.28761
[92]	validation_0-rmse:569.04023
[93]	validation_0-rmse:569.03369
[94]	validation_0-rmse:568.73913
[95]	validation_0-rmse:568.09356
[96]	validation_0-rmse:568.40134
[97]	validation_0-rmse:568.38638
[98]	validation_0-rmse:568.33955
[99]	validation_0-rmse:567.88646
[100]	validation_0-rmse:567.56028
[101]	validation_0-rmse:567.03455
[102]	validation_0-rmse:566.93433
[103]	validation_0-rmse:567.02271
[104]	validation_0-rmse:566.99837
[105]	validation_0-rmse:566.98224
[106]	validation_0-rmse:566.63506
[107]	validation_0-rmse:566.53684
[108]	validation_0-rmse:566.15035
[109]	validation_0-rmse:565.97350
[110]	validation_0-rmse:566.35116
[111]	validation_0-rmse:566.40936
[112]	validation_0-rmse:566.46530
[113]	validation_0-rmse:566.16185
[114]	validation_0-rmse:565.93498
[115]	validation_0-rmse:565.30303
[116]	validation_0-rmse:565.22075
[117]	validation_0-rmse:564.94910
[118]	validation_0-rmse:564.88332
[119]	validation_0-rmse:565.04432
[120]	validation_0-rmse:564.99604
[121]	validation_0-rmse:564.69103
[122]	validation_0-rmse:564.96089
[123]	validation_0-rmse:564.73455
[124]	validation_0-rmse:564.76138
[125]	validation_0-rmse:564.79319
[126]	validation_0-rmse:564.74773
[127]	validation_0-rmse:564.74784
[128]	validation_0-rmse:564.65797
[129]	validation_0-rmse:564.21014
[130]	validation_0-rmse:564.24984
[131]	validation_0-rmse:563.95306
[132]	validation_0-rmse:563.54378
[133]	validation_0-rmse:563.60299
[134]	validation_0-rmse:563.94504
[135]	validation_0-rmse:563.46683
[136]	validation_0-rmse:563.81631
[137]	validation_0-rmse:563.83076
[138]	validation_0-rmse:563.39637
[139]	validation_0-rmse:563.47444
[140]	validation_0-rmse:563.10644
[141]	validation_0-rmse:562.97177
[142]	validation_0-rmse:563.21720
[143]	validation_0-rmse:563.01982
[144]	validation_0-rmse:563.13876
[145]	validation_0-rmse:563.28324
[146]	validation_0-rmse:563.02380
[147]	validation_0-rmse:562.95244
[148]	validation_0-rmse:563.00657
[149]	validation_0-rmse:562.88223
[150]	validation_0-rmse:563.20552
[151]	validation_0-rmse:562.87876
[152]	validation_0-rmse:562.69597
[153]	validation_0-rmse:562.69551
[154]	validation_0-rmse:562.29760
[155]	validation_0-rmse:562.53501
[156]	validation_0-rmse:562.19751
[157]	validation_0-rmse:562.50892
[158]	validation_0-rmse:562.25196
[159]	validation_0-rmse:562.27349
[160]	validation_0-rmse:562.26231
[161]	validation_0-rmse:562.59918
[162]	validation_0-rmse:562.45641
[163]	validation_0-rmse:562.37844
[164]	validation_0-rmse:562.45958
[165]	validation_0-rmse:562.28804
[166]	validation_0-rmse:562.47891
