[12:14:26] WARNING: /workspace/src/common/error_msg.cc:27: The tree method `gpu_hist` is deprecated since 2.0.0. To use GPU training, set the `device` parameter to CUDA instead.
    E.g. tree_method = "hist", device = "cuda"
[0]	validation_0-rmse:2678.02784
[1]	validation_0-rmse:1865.02843
[2]	validation_0-rmse:1373.38919
[3]	validation_0-rmse:1079.51902
[4]	validation_0-rmse:905.62307
[5]	validation_0-rmse:801.88023
[6]	validation_0-rmse:742.50531
[7]	validation_0-rmse:706.58029
[8]	validation_0-rmse:682.87721
[9]	validation_0-rmse:664.64798
[10]	validation_0-rmse:652.65879
[11]	validation_0-rmse:636.55668
[12]	validation_0-rmse:621.49313
[13]	validation_0-rmse:615.22276
[14]	validation_0-rmse:609.09642
[15]	validation_0-rmse:605.09832
[16]	validation_0-rmse:602.93750
[17]	validation_0-rmse:598.36243
[18]	validation_0-rmse:592.42375
[19]	validation_0-rmse:590.28141
[20]	validation_0-rmse:588.29989
[21]	validation_0-rmse:587.22085
[22]	validation_0-rmse:587.55702
[23]	validation_0-rmse:586.99541
[24]	validation_0-rmse:584.83036
[25]	validation_0-rmse:580.82010
[26]	validation_0-rmse:580.82073
[27]	validation_0-rmse:580.49151
[28]	validation_0-rmse:580.21414
[29]	validation_0-rmse:578.38069
[30]	validation_0-rmse:577.21406
[31]	validation_0-rmse:576.79717
[32]	validation_0-rmse:575.08706
[33]	validation_0-rmse:574.36835
[34]	validation_0-rmse:574.46924
[35]	validation_0-rmse:573.57261
[36]	validation_0-rmse:572.89463
[37]	validation_0-rmse:569.29573
[38]	validation_0-rmse:568.77469
[39]	validation_0-rmse:568.63510
[40]	validation_0-rmse:568.59151
[41]	validation_0-rmse:568.39195
[42]	validation_0-rmse:568.96610
[43]	validation_0-rmse:569.57999
[44]	validation_0-rmse:569.26319
[45]	validation_0-rmse:567.74899
[46]	validation_0-rmse:567.20921
[47]	validation_0-rmse:566.93758
[48]	validation_0-rmse:567.11542
[49]	validation_0-rmse:567.43605
[50]	validation_0-rmse:567.45527
[51]	validation_0-rmse:567.08903
[52]	validation_0-rmse:565.42804
[53]	validation_0-rmse:565.87085
[54]	validation_0-rmse:565.80724
[55]	validation_0-rmse:565.39994
[56]	validation_0-rmse:564.95126
[57]	validation_0-rmse:565.36463
[58]	validation_0-rmse:565.23584
[59]	validation_0-rmse:563.70253
[60]	validation_0-rmse:563.57412
[61]	validation_0-rmse:563.46544
[62]	validation_0-rmse:563.20330
[63]	validation_0-rmse:562.77755
[64]	validation_0-rmse:562.50591
[65]	validation_0-rmse:562.02463
[66]	validation_0-rmse:562.57843
[67]	validation_0-rmse:562.35591
[68]	validation_0-rmse:562.77020
[69]	validation_0-rmse:562.54513
[70]	validation_0-rmse:561.82881
[71]	validation_0-rmse:561.85468
[72]	validation_0-rmse:561.66191
[73]	validation_0-rmse:561.19708
[74]	validation_0-rmse:560.94194
[75]	validation_0-rmse:560.57470
[76]	validation_0-rmse:560.51743
[77]	validation_0-rmse:560.33223
[78]	validation_0-rmse:560.25840
[79]	validation_0-rmse:560.55367
[80]	validation_0-rmse:560.47807
[81]	validation_0-rmse:560.42597
[82]	validation_0-rmse:560.37812
[83]	validation_0-rmse:560.49543
[84]	validation_0-rmse:560.40025
[85]	validation_0-rmse:560.39598
[86]	validation_0-rmse:560.10279
[87]	validation_0-rmse:559.97351
[88]	validation_0-rmse:559.44151
[89]	validation_0-rmse:559.35229
[90]	validation_0-rmse:559.10561
[91]	validation_0-rmse:559.10970
[92]	validation_0-rmse:559.19193
[93]	validation_0-rmse:558.71479
[94]	validation_0-rmse:558.66659
[95]	validation_0-rmse:558.59063
[96]	validation_0-rmse:558.63120
[97]	validation_0-rmse:558.18323
[98]	validation_0-rmse:558.13431
[99]	validation_0-rmse:558.63830
[100]	validation_0-rmse:558.69770
[101]	validation_0-rmse:559.09383
[102]	validation_0-rmse:559.01763
[103]	validation_0-rmse:558.75735
[104]	validation_0-rmse:558.72040
[105]	validation_0-rmse:558.51435
[106]	validation_0-rmse:558.48569
[107]	validation_0-rmse:558.50277
[108]	validation_0-rmse:558.25458
