[12:14:41] WARNING: /workspace/src/common/error_msg.cc:27: The tree method `gpu_hist` is deprecated since 2.0.0. To use GPU training, set the `device` parameter to CUDA instead.
    E.g. tree_method = "hist", device = "cuda"
[0]	validation_0-rmse:1810.65272
[1]	validation_0-rmse:1086.88793
[2]	validation_0-rmse:883.44717
[3]	validation_0-rmse:785.91921
[4]	validation_0-rmse:751.07099
[5]	validation_0-rmse:725.17813
[6]	validation_0-rmse:712.80923
[7]	validation_0-rmse:693.49659
[8]	validation_0-rmse:683.42279
[9]	validation_0-rmse:674.21411
[10]	validation_0-rmse:668.90910
[11]	validation_0-rmse:658.89910
[12]	validation_0-rmse:650.89803
[13]	validation_0-rmse:645.96325
[14]	validation_0-rmse:644.73409
[15]	validation_0-rmse:637.32291
[16]	validation_0-rmse:635.87031
[17]	validation_0-rmse:633.61198
[18]	validation_0-rmse:631.70310
[19]	validation_0-rmse:630.02195
[20]	validation_0-rmse:626.92611
[21]	validation_0-rmse:625.15846
[22]	validation_0-rmse:621.81104
[23]	validation_0-rmse:622.96443
[24]	validation_0-rmse:621.01298
[25]	validation_0-rmse:622.16965
[26]	validation_0-rmse:621.65443
[27]	validation_0-rmse:621.23458
[28]	validation_0-rmse:621.68146
[29]	validation_0-rmse:619.91920
[30]	validation_0-rmse:618.83810
[31]	validation_0-rmse:617.05381
[32]	validation_0-rmse:616.57231
[33]	validation_0-rmse:616.98018
[34]	validation_0-rmse:615.89014
[35]	validation_0-rmse:614.05521
[36]	validation_0-rmse:610.58354
[37]	validation_0-rmse:608.73565
[38]	validation_0-rmse:607.65362
[39]	validation_0-rmse:605.13041
[40]	validation_0-rmse:604.39948
[41]	validation_0-rmse:604.02348
[42]	validation_0-rmse:606.17728
[43]	validation_0-rmse:606.46719
[44]	validation_0-rmse:604.52116
[45]	validation_0-rmse:603.80238
[46]	validation_0-rmse:604.30188
[47]	validation_0-rmse:602.93113
[48]	validation_0-rmse:602.78766
[49]	validation_0-rmse:602.31384
[50]	validation_0-rmse:600.48145
[51]	validation_0-rmse:598.93658
[52]	validation_0-rmse:597.28852
[53]	validation_0-rmse:598.80501
[54]	validation_0-rmse:598.67301
[55]	validation_0-rmse:597.91385
[56]	validation_0-rmse:597.64600
[57]	validation_0-rmse:596.76327
[58]	validation_0-rmse:596.92617
[59]	validation_0-rmse:596.21730
[60]	validation_0-rmse:594.60539
[61]	validation_0-rmse:593.76128
[62]	validation_0-rmse:593.51020
[63]	validation_0-rmse:593.18996
[64]	validation_0-rmse:590.56811
[65]	validation_0-rmse:589.76585
[66]	validation_0-rmse:589.24711
[67]	validation_0-rmse:588.89851
[68]	validation_0-rmse:589.27493
[69]	validation_0-rmse:590.39335
[70]	validation_0-rmse:589.97384
[71]	validation_0-rmse:590.05290
[72]	validation_0-rmse:590.11395
[73]	validation_0-rmse:589.78753
[74]	validation_0-rmse:590.08715
[75]	validation_0-rmse:590.13060
[76]	validation_0-rmse:590.33331
