[12:14:56] WARNING: /workspace/src/common/error_msg.cc:27: The tree method `gpu_hist` is deprecated since 2.0.0. To use GPU training, set the `device` parameter to CUDA instead.
    E.g. tree_method = "hist", device = "cuda"
[0]	validation_0-rmse:2172.89194
[1]	validation_0-rmse:1338.96581
[2]	validation_0-rmse:966.60032
[3]	validation_0-rmse:814.45398
[4]	validation_0-rmse:727.49514
[5]	validation_0-rmse:688.05756
[6]	validation_0-rmse:666.62559
[7]	validation_0-rmse:648.95462
[8]	validation_0-rmse:636.01437
[9]	validation_0-rmse:629.81699
[10]	validation_0-rmse:624.20078
[11]	validation_0-rmse:616.69522
[12]	validation_0-rmse:613.73102
[13]	validation_0-rmse:609.91800
[14]	validation_0-rmse:605.80494
[15]	validation_0-rmse:605.04427
[16]	validation_0-rmse:604.70779
[17]	validation_0-rmse:604.39063
[18]	validation_0-rmse:601.80001
[19]	validation_0-rmse:597.32733
[20]	validation_0-rmse:596.68553
[21]	validation_0-rmse:594.14794
[22]	validation_0-rmse:590.86356
[23]	validation_0-rmse:588.71969
[24]	validation_0-rmse:587.17912
[25]	validation_0-rmse:584.27589
[26]	validation_0-rmse:583.48380
[27]	validation_0-rmse:582.24966
[28]	validation_0-rmse:581.12342
[29]	validation_0-rmse:581.07376
[30]	validation_0-rmse:580.65854
[31]	validation_0-rmse:580.11500
[32]	validation_0-rmse:578.27559
[33]	validation_0-rmse:577.57401
[34]	validation_0-rmse:574.03580
[35]	validation_0-rmse:576.23195
[36]	validation_0-rmse:577.10972
[37]	validation_0-rmse:575.27873
[38]	validation_0-rmse:574.89259
[39]	validation_0-rmse:575.36248
[40]	validation_0-rmse:575.19306
[41]	validation_0-rmse:575.17948
[42]	validation_0-rmse:574.60999
[43]	validation_0-rmse:573.60481
[44]	validation_0-rmse:573.05122
[45]	validation_0-rmse:572.66241
[46]	validation_0-rmse:573.14280
[47]	validation_0-rmse:574.15146
[48]	validation_0-rmse:575.24947
[49]	validation_0-rmse:575.13315
[50]	validation_0-rmse:574.59717
[51]	validation_0-rmse:574.41128
[52]	validation_0-rmse:575.10531
[53]	validation_0-rmse:574.12690
[54]	validation_0-rmse:572.89924
[55]	validation_0-rmse:573.67628
[56]	validation_0-rmse:573.95865
[57]	validation_0-rmse:574.45105
[58]	validation_0-rmse:572.90524
[59]	validation_0-rmse:572.33551
[60]	validation_0-rmse:572.18693
[61]	validation_0-rmse:572.95480
[62]	validation_0-rmse:572.47162
[63]	validation_0-rmse:572.60811
[64]	validation_0-rmse:572.80539
[65]	validation_0-rmse:573.07176
[66]	validation_0-rmse:573.71507
[67]	validation_0-rmse:573.25314
[68]	validation_0-rmse:572.02097
[69]	validation_0-rmse:572.65293
[70]	validation_0-rmse:573.10593
[71]	validation_0-rmse:573.25216
[72]	validation_0-rmse:572.90210
[73]	validation_0-rmse:572.77870
[74]	validation_0-rmse:572.81841
[75]	validation_0-rmse:572.93788
[76]	validation_0-rmse:573.42966
[77]	validation_0-rmse:573.04131
[78]	validation_0-rmse:573.28343
[79]	validation_0-rmse:573.08843
[80]	validation_0-rmse:574.04998
[81]	validation_0-rmse:574.07203
[82]	validation_0-rmse:573.90283
[83]	validation_0-rmse:574.21654
[84]	validation_0-rmse:573.73420
[85]	validation_0-rmse:573.43442
[86]	validation_0-rmse:573.67728
[87]	validation_0-rmse:573.48301
[88]	validation_0-rmse:573.68453
[89]	validation_0-rmse:573.64199
[90]	validation_0-rmse:573.25300
[91]	validation_0-rmse:573.52610
[92]	validation_0-rmse:573.45058
[93]	validation_0-rmse:573.53290
[94]	validation_0-rmse:574.14472
[95]	validation_0-rmse:573.74560
[96]	validation_0-rmse:573.70411
[97]	validation_0-rmse:573.55682
[98]	validation_0-rmse:574.10826
